"SCHEDULE_ID","SCHEDULE_TYPE","TITLE","DETAIL","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION"
1,"POWER_SAVE","Mon-Fri 08:00-18:00","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},    { ""priority"" : 50, ""label"" : ""Bank Holidays"", ""date"" :[""2016-03-25"", ""2016-03-28""],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:00"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:30:13,"XHIBIT","XHIBIT",2
2,"POWER_SAVE","Mon-Fri 07:00-19:00","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""06:59"" }, { ""from"" : ""19:00"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
3,"POWER_SAVE","Mon-Fri 08:00-18:30","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:30"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
4,"POWER_SAVE","Mon-Fri 09:00-17:00","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""08:59"" }, { ""from"" : ""17:00"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
5,"POWER_SAVE","Mon-Sat 08:00-18:30","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:30"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
6,"POWER_SAVE","Mon-Sun 00:00-23:59","[{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""00:01"" }, { ""from"" : ""23:59"", ""to"" : ""00:00"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
7,"POWER_SAVE","Mon-Sun 08:00-18:30","[{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:30"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
8,"POWER_SAVE","Mon-Thu 08:00-18:30","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Friday"", ""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:30"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
9,"POWER_SAVE","Tue-Fri 08:00-18:30","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Monday"", ""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:30"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
10,"POWER_SAVE","Tue-Thu 08:00-18:30","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Monday"", ""Friday"", ""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Tuesday"", ""Wednesday"", ""Thursday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:30"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
11,"POWER_SAVE","Wed-Thu 08:00-18:30","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Monday"", ""Tuesday"", ""Friday"", ""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Wednesday"", ""Thursday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:30"", ""to"" : ""23:59"" }]}]",17-MAY-18 13:42:21,17-MAY-18 13:42:21,"XHIBIT","XHIBIT",1
12,"POWER_SAVE","POWER SAVE","[{ ""priority"" : 51,  ""label"" : ""Weekends"",  ""day"" :[""Saturday"", ""Sunday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},    { ""priority"" : 50, ""label"" : ""Bank Holidays"", ""date"" :[""2016-03-25"", ""2016-03-28""],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""23:59"" }]},{ ""priority"" : 52,  ""label"" : ""Weekdays"",  ""day"" :[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"" ],   ""schedule"" : [{ ""from"" : ""00:00"", ""to"" : ""07:59"" }, { ""from"" : ""18:00"", ""to"" : ""23:59"" }]}]",26-MAY-22 08:57:33,26-MAY-22 08:57:33,"XHIBIT","XHIBIT",1
